ProgramName;Start;End;Cancelled;TotalTime;BreakingTime;NumberBreaks;Process1Time;Process1Length;Process1Starts;Process2Time;Process2Length;Process2Starts;Process3Time;Process3Length;Process3Starts;Process4Time;Process4Length;Process4Starts;RapidTime;RapidLength;RapidStarts
00003901;2025-07-10 09:46:42;2025-07-10 09:55:45;True;541;4;2;373;24759.26171875;1;0;0;0;0;0;0;0;0;0;60;20833;6
00003901;2025-07-10 09:46:42;2025-07-10 09:56:00;True;0;0;0;0;0.0;0;0;0;0;0;0;0;0;0;0;0;0;0
00003901;2025-07-10 09:46:42;2025-07-10 09:56:44;True;4;0;2;0;0.0;0;0;0;0;0;0;0;0;0;0;0;0;0
00003901;2025-07-10 09:46:42;2025-07-10 09:57:22;True;9;0;4;0;0.0;0;0;0;0;0;0;0;0;0;0;0;0;0
00003901;2025-07-10 09:46:42;2025-07-10 10:00:17;True;19;1;8;0;0.0;0;0;0;0;0;0;0;0;0;0;0;0;0
00003901;2025-07-10 09:46:42;2025-07-10 10:02:14;True;34;2;14;0;0.0;0;0;0;0;0;0;0;0;0;0;0;0;0
00003901;2025-07-10 09:46:42;2025-07-10 10:02:51;True;39;2;16;0;0.0;0;0;0;0;0;0;0;0;0;0;0;0;0
00003901;2025-07-10 09:46:42;2025-07-10 10:03:32;True;44;2;18;0;0.0;0;0;0;0;0;0;0;0;0;0;0;0;0
00003901;2025-07-10 09:46:42;2025-07-10 10:04:46;True;53;3;22;0;0.0;0;0;0;0;0;0;0;0;0;0;0;0;0
00004329;2025-07-10 10:34:02;2025-07-10 11:23:51;False;2987;13;9;1452;53978.203125;34;0;0;0;0;0;0;0;0;0;572;141306;105
00004169;2025-07-10 12:44:24;2025-07-10 12:55:03;True;0;0;2;408;26538.365234375;1;0;0;0;0;0;0;0;0;0;136;48388;6
00004169;2025-07-10 12:44:24;2025-07-10 12:55:22;True;0;0;0;0;0.0;0;0;0;0;0;0;0;0;0;0;0;0;0
00004169;2025-07-10 12:44:24;2025-07-10 12:56:00;True;4;0;2;0;0.0;0;0;0;0;0;0;0;0;0;0;0;0;0
00004169;2025-07-10 12:44:24;2025-07-10 12:56:48;True;9;0;4;0;0.0;0;0;0;0;0;0;0;0;0;0;0;0;0
00004169;2025-07-10 12:44:24;2025-07-10 12:57:29;True;14;0;6;0;0.0;0;0;0;0;0;0;0;0;0;0;0;0;0
00004169;2025-07-10 12:44:24;2025-07-10 12:58:07;True;19;1;8;0;0.0;0;0;0;0;0;0;0;0;0;0;0;0;0
00004169;2025-07-10 12:44:24;2025-07-10 12:58:41;True;24;1;10;0;0.0;0;0;0;0;0;0;0;0;0;0;0;0;0
00004169;2025-07-10 12:44:24;2025-07-10 13:00:15;True;34;2;14;0;0.0;0;0;0;0;0;0;0;0;0;0;0;0;0
Module0006;2025-07-10 13:09:55;2025-07-10 13:18:25;True;508;2;1;434;27961.677734375;7;0;0;0;0;0;0;0;0;0;10;720;7
Module0006;2025-07-10 13:19:03;2025-07-10 13:53:21;False;2056;0;1;1737;111848.03125;28;0;0;0;0;0;0;0;0;0;65;9075;27
Module0006;2025-07-10 13:54:24;2025-07-10 14:03:14;False;529;0;1;456;27968.369140625;7;0;0;0;0;0;0;0;0;0;10;720;7
00004168;2025-07-10 15:24:49;2025-07-10 15:35:45;True;652;5;2;394;26209.3359375;1;0;0;0;0;0;0;0;0;0;167;59468;7
00004168;2025-07-10 15:24:49;2025-07-10 15:37:33;True;14;0;6;0;0.0;0;0;0;0;0;0;0;0;0;0;13;2299;0
00004168;2025-07-10 15:24:49;2025-07-10 15:38:54;True;19;1;8;0;0.0;0;0;0;0;0;0;0;0;0;0;18;3066;0
00004168;2025-07-10 15:24:49;2025-07-10 15:39:29;True;24;1;10;0;0.0;0;0;0;0;0;0;0;0;0;0;22;3833;0
00004168;2025-07-10 15:24:49;2025-07-10 15:40:04;True;29;1;12;0;0.0;0;0;0;0;0;0;0;0;0;0;27;4599;0
00004168;2025-07-10 15:24:49;2025-07-10 15:40:39;True;34;2;14;0;0.0;0;0;0;0;0;0;0;0;0;0;31;5366;0
00004168;2025-07-10 15:24:49;2025-07-10 15:41:21;True;39;2;16;0;0.0;0;0;0;0;0;0;0;0;0;0;36;6133;0
00004168;2025-07-10 15:24:49;2025-07-10 15:41:51;True;43;2;18;0;0.0;0;0;0;0;0;0;0;0;0;0;40;6899;0
Module0006;2025-07-10 15:43:30;2025-07-10 16:00:31;True;1019;2;1;868;55923.6328125;14;0;0;0;0;0;0;0;0;0;29;3505;13
Module0006;2025-07-10 16:01:24;2025-07-10 16:01:30;True;5;4;1;0;0.0;0;0;0;0;0;0;0;0;0;0;0;6;0
