ProgramName;Start;End;Cancelled;TotalTime;BreakingTime;NumberBreaks;Process1Time;Process1Length;Process1Starts;Process2Time;Process2Length;Process2Starts;Process3Time;Process3Length;Process3Starts;Process4Time;Process4Length;Process4Starts;RapidTime;RapidLength;RapidStarts
00004084;2025-06-25 13:47:34;2025-06-26 01:45:05;True;5;0;2;0;0.0;0;0;0;0;0;0;0;0;0;0;0;0;0
00004084;2025-06-25 13:47:34;2025-06-26 01:48:14;True;24;1;10;0;0.0;0;0;0;0;0;0;0;0;0;0;0;0;0
00004084;2025-06-25 13:47:34;2025-06-26 01:51:50;True;45;3;18;0;0.0;0;0;0;0;0;0;0;0;0;0;0;0;0
Module0006;2025-06-26 06:11:19;2025-06-26 06:13:22;True;122;3;1;63;2974.10815429688;5;0;0;0;0;0;0;0;0;0;5;578;4
Module0006;2025-06-26 06:14:06;2025-06-26 06:44:46;False;1839;0;1;951;44611.62109375;75;0;0;0;0;0;0;0;0;0;127;17547;74
Module0006;2025-06-26 06:45:26;2025-06-26 09:33:32;False;10085;7353;16;1394;65366.43359375;114;0;0;0;0;0;0;0;0;0;185;25524;109
Module0006;2025-06-26 09:35:40;2025-06-26 09:35:43;True;2;2;1;0;0.0;0;0;0;0;0;0;0;0;0;0;0;0;0
Module0006;2025-06-26 09:36:15;2025-06-26 09:53:52;True;1056;207;2;444;20818.7578125;35;0;0;0;0;0;0;0;0;0;61;8762;35
Module0006;2025-06-26 09:36:15;2025-06-26 10:02:13;True;4;0;2;0;0.0;0;0;0;0;0;0;0;0;0;0;0;0;0
Module0006;2025-06-26 09:36:15;2025-06-26 10:03:36;True;9;0;4;0;0.0;0;0;0;0;0;0;0;0;0;0;0;0;0
Module0006;2025-06-26 09:36:15;2025-06-26 10:04:35;True;14;0;6;0;0.0;0;0;0;0;0;0;0;0;0;0;0;0;0
Module0006;2025-06-26 09:36:15;2025-06-26 10:05:30;True;19;1;8;0;0.0;0;0;0;0;0;0;0;0;0;0;0;0;0
Module0006 1900 X 100 SPARS;2025-06-26 11:16:55;2025-06-26 11:49:05;False;1929;328;1;1436;56179.390625;14;0;0;0;0;0;0;0;0;0;32;3650;14
Module0006 1900 X 100 SPARS;2025-06-26 11:50:00;2025-06-26 11:54:26;False;265;31;2;205;8025.7041015625;2;0;0;0;0;0;0;0;0;0;9;1952;2
00004520;2025-06-26 12:03:09;2025-06-26 13:22:07;False;4737;33;3;2398;109939.515625;59;0;0;0;0;0;0;0;0;0;372;45562;241
163x105mm jm;2025-06-26 13:32:04;2025-06-26 13:33:58;False;113;20;1;44;2140.93823242188;4;0;0;0;0;0;0;0;0;0;6;412;4
0 200mm Calibration and Text Test;2025-06-26 15:35:43;2025-06-26 15:39:48;False;240;67;3;13;795.878723144531;1;0;0;0;0;0;0;0;0;0;23;1306;10
00004516;2025-06-26 16:32:28;2025-06-26 17:15:47;False;2596;2;1;2124;50255.34765625;33;0;0;0;0;0;0;0;0;0;55;8207;38
00004519;2025-06-26 17:46:22;2025-06-26 18:06:32;False;1208;68;8;630;31998.951171875;13;0;0;0;0;0;0;0;0;0;181;41062;37
00004138;2025-06-26 18:19:53;2025-06-26 18:23:56;False;242;7;1;22;1334.42639160156;1;0;0;0;0;0;0;0;0;0;44;6742;14
00004137;2025-06-26 21:43:42;2025-06-26 22:17:41;False;2038;321;21;304;20109.396484375;21;0;0;0;0;0;0;0;0;0;329;63332;70
