Cluster;Metric;Value
0;TotalTime;7.0494312947152125
1;TotalTime;9.517503710066926
2;TotalTime;8.0691725680126
3;TotalTime;6.027555166343784
0;BreakingTime;2.68297867916472
1;BreakingTime;7.785408267492358
2;BreakingTime;5.4062950994016905
3;BreakingTime;1.9495232010183752
0;NumberBreaks;1.3044628169932817
1;NumberBreaks;3.195067025235285
2;NumberBreaks;2.076932254484208
3;NumberBreaks;0.8936908334634486
0;Process1Time;6.149391687275165
1;Process1Time;8.084947398124294
2;Process1Time;6.762007071791486
3;Process1Time;4.668906220476866
0;Process1Length;10.088753914673294
1;Process1Length;11.97651925582346
2;Process1Length;10.648589316971343
3;Process1Length;8.755973626969201
0;Process1Starts;3.015885417174082
1;Process1Starts;5.271938983000829
2;Process1Starts;3.449729539625579
3;Process1Starts;2.1042153783295827
0;RapidTime;4.9379026566028
1;RapidTime;7.405566511017321
2;RapidTime;6.004476413054901
3;RapidTime;3.8868563170933252
0;RapidLength;10.04918491697366
1;RapidLength;12.483678353327125
2;RapidLength;11.163353517916384
3;RapidLength;8.83776983972201
0;RapidStarts;3.795043336147136
1;RapidStarts;6.31296706889017
2;RapidStarts;4.669984893361315
3;RapidStarts;3.070799138035011
