Cluster;Metric;Value
0;TotalTime;6.990836122279353
1;TotalTime;9.43596981020266
2;TotalTime;7.980369334884721
3;TotalTime;6.16541785423142
0;BreakingTime;2.4849066497880004
1;BreakingTime;8.023100912885539
2;BreakingTime;5.376626896268828
3;BreakingTime;1.3862943611198906
0;NumberBreaks;1.0986122886681098
1;NumberBreaks;3.380786384402028
2;NumberBreaks;1.7776740307447065
3;NumberBreaks;0.6931471805599453
0;Process1Time;6.039005987731327
1;Process1Time;8.258846455099299
2;Process1Time;6.766515464651759
3;Process1Time;4.897839799950911
0;Process1Length;10.015561011956311
1;Process1Length;11.963928057588245
2;Process1Length;10.564031914314931
3;Process1Length;9.021348060401277
0;Process1Starts;2.9944807084449314
1;Process1Starts;5.303193512269376
2;Process1Starts;3.449861553642436
3;Process1Starts;1.6094379124341005
0;RapidTime;5.01395756545559
1;RapidTime;7.392890506271987
2;RapidTime;5.965195802543205
3;RapidTime;4.04305126783455
0;RapidLength;9.983241746216116
1;RapidLength;12.486642778052058
2;RapidLength;11.262304416234668
3;RapidLength;9.09268232850795
0;RapidStarts;3.890986617217192
1;RapidStarts;6.347488880436088
2;RapidStarts;4.6956638528785
3;RapidStarts;3.1354942159291497
