Cluster;Metric;Value
0;TotalTime;6.363028103540465
1;TotalTime;8.812992231969966
2;TotalTime;7.053585727193677
3;TotalTime;4.584967478670572
0;BreakingTime;0.6931471805599453
1;BreakingTime;5.631211781821365
2;BreakingTime;1.6094379124341005
3;BreakingTime;0.6931471805599453
0;NumberBreaks;0.6931471805599453
1;NumberBreaks;1.6094379124341005
2;NumberBreaks;1.0986122886681098
3;NumberBreaks;0.6931471805599453
0;Process1Time;5.198497031265826
1;Process1Time;6.773080375655535
2;Process1Time;5.652489180268651
3;Process1Time;2.8903717578961645
0;Process1Length;9.080476464648362
1;Process1Length;10.539734259332311
2;Process1Length;9.80811389415458
3;Process1Length;6.673531201347048
0;Process1Starts;1.6094379124341005
1;Process1Starts;3.737669618283368
2;Process1Starts;2.079441541679836
3;Process1Starts;0.6931471805599453
0;RapidTime;3.4339872044851463
1;RapidTime;6.637258031284457
2;RapidTime;4.897839799950911
3;RapidTime;1.3862943611198906
0;RapidLength;8.354203562921775
1;RapidLength;11.77033130288745
2;RapidLength;10.00816283347426
3;RapidLength;5.777652323222656
0;RapidStarts;2.4849066497880004
1;RapidStarts;5.153291594497779
2;RapidStarts;3.1354942159291497
3;RapidStarts;1.3862943611198906
