Cluster;Metric;Value
0;TotalTime;0.3685956336747919
1;TotalTime;0.411795215864707
2;TotalTime;0.46651689599494955
3;TotalTime;0.5212407420383002
0;BreakingTime;1.4308622446493533
1;BreakingTime;1.1607142638856387
2;BreakingTime;1.7912971397202062
3;BreakingTime;1.174760887132677
0;NumberBreaks;0.6265542341702115
1;NumberBreaks;0.6607493739779725
2;NumberBreaks;0.8026214221506996
3;NumberBreaks;0.26929106565876326
0;Process1Time;0.5437959825855435
1;Process1Time;0.5961906866919108
2;Process1Time;0.5671014196641532
3;Process1Time;0.7394335761294528
0;Process1Length;0.4428900196849761
1;Process1Length;0.530261774813574
2;Process1Length;0.4532160053273552
3;Process1Length;0.8272128264822457
0;Process1Starts;0.6627228672147593
1;Process1Starts;0.7826609530048049
2;Process1Starts;0.8056779923727755
3;Process1Starts;0.9178308367427992
0;RapidTime;0.5616615776313937
1;RapidTime;0.3680909430459388
2;RapidTime;0.4425239654139211
3;RapidTime;0.7803831576721935
0;RapidLength;0.724834194643096
1;RapidLength;0.31084927219043484
2;RapidLength;0.5669756390043817
3;RapidLength;0.9064091326971535
0;RapidStarts;0.7607627986753923
1;RapidStarts;0.5789263750669094
2;RapidStarts;0.5825993002947383
3;RapidStarts;0.6938323487527563
