ProgramName;Start;End;Cancelled;TotalTime;BreakingTime;NumberBreaks;Process1Time;Process1Length;Process1Starts;RapidTime;RapidLength;RapidStarts
4392;2025-06-21 03:04:26;2025-06-21 03:26:32;False;1325;23;4;324;15738.7177734375;69;166;13397;99
3887;2025-06-21 03:32:07;2025-06-21 04:07:38;False;2126;107;7;563;28534.375;11;406;78358;82
4472;2025-06-21 04:09:00;2025-06-21 04:21:51;False;766;6;1;409;19713.322265625;12;142;36295;25
4402;2025-06-21 05:43:52;2025-06-21 05:49:27;False;333;2;2;183;4500.9931640625;4;32;4732;9
4334;2025-06-21 06:12:14;2025-06-21 06:43:59;False;1900;18;2;460;27593.513671875;78;287;29236;162
4380;2025-06-21 07:45:23;2025-06-21 08:32:55;False;2845;201;20;700;33640.8671875;54;506;86892;125
4356;2025-06-30 10:16:52;2025-06-30 12:08:54;False;6720;405;36;1784;111780.359375;41;1297;252684;274
4297;2025-06-30 14:23:33;2025-06-30 19:12:07;False;17313;2930;4;4809;294263.0625;372;2659;350871;1196
4332;2025-06-30 20:53:57;2025-06-30 21:39:23;False;2724;200;20;827;36622.05078125;29;536;121717;70
4370;2025-07-01 22:36:25;2025-07-02 03:35:28;False;17941;4001;12;5933;259468.546875;275;2228;376639;702
4246;2025-07-02 06:15:19;2025-07-02 12:12:17;False;21416;2335;25;6783;312209.59375;612;2885;355398;1349
4369;2025-07-02 16:11:27;2025-07-02 19:27:53;False;11785;3098;26;3309;155896.3125;86;1642;319207;399
4368;2025-07-02 21:45:00;2025-07-03 02:21:09;False;16568;4987;49;3471;149651.109375;356;2026;318959;688
3986;2025-07-03 16:58:14;2025-07-03 17:04:13;False;358;2;1;133;9806.8837890625;3;43;8159;14
3987;2025-07-03 17:05:27;2025-07-03 17:13:26;False;475;2;2;145;10753.083984375;3;79;12804;24
3988;2025-07-03 17:15:43;2025-07-03 17:23:50;False;481;20;1;185;13621.1650390625;4;70;10174;22
3989;2025-07-03 17:24:57;2025-07-03 17:35:52;False;650;30;3;189;13896.5361328125;4;96;15363;32
3516;2025-07-03 17:39:22;2025-07-03 17:50:31;False;664;1;1;119;8569.1728515625;27;84;11121;46
3517;2025-07-03 18:22:28;2025-07-03 18:33:33;False;661;12;2;115;8276.9287109375;27;80;10146;48
3519;2025-07-03 18:34:54;2025-07-03 18:40:22;False;323;16;3;62;4541.21728515625;10;56;7195;20
3518;2025-07-03 23:09:16;2025-07-03 23:18:30;False;549;1;2;113;11533.1123046875;28;57;8889;38
3804;2025-07-04 10:13:38;2025-07-04 13:37:14;False;12214;405;32;4294;169088.4375;115;2040;365618;632
4311;2025-07-04 15:49:53;2025-07-04 16:00:17;False;623;119;1;170;11254.5791015625;16;54;9040;28
4561;2025-07-05 03:00:15;2025-07-05 06:19:15;False;11938;4531;18;1696;117911.3671875;134;2188;271969;863
4600;2025-07-05 07:22:37;2025-07-05 07:24:19;False;97;2;1;17;790.184509277344;2;3;322;3
4573;2025-07-05 10:56:56;2025-07-05 11:21:30;False;1473;87;6;414;26959.892578125;16;189;19763;107
4570;2025-07-05 11:28:34;2025-07-05 11:52:23;False;1424;4;1;405;26366.037109375;13;206;21501;112
4579;2025-07-05 11:54:34;2025-07-05 12:24:37;False;1798;67;4;455;28453.009765625;67;335;28530;163
4569;2025-07-05 12:35:24;2025-07-05 13:20:18;False;2689;4;2;938;61530.546875;56;366;43655;199
